Trip #no.,Duration,Cost of Travel(Entire Trip),Mode of Travel,Stay,First Name,Last Name,Date of Birth,Address,Age,Sex,Nationality,Date of Travel
55,1,20111,Flight,Hotel,Cristina,Fuentes,1914-06-14,"5143 Pope Camp Apt. 028
Lake Emily, UT 71371",74,Non-Binary,Lao People's Democratic Republic,2022-09-13
288,5,29681,Car,Hotel,Patricia,Young,1923-09-25,"716 Dominguez Row Suite 775
South Tiffanyborough, WV 27800",19,Female,Gabon,2021-09-04
291,7,24950,Flight,Airbnb,Christina,Kirby,1935-01-02,"PSC 4600, Box 1237
APO AE 32510",36,Female,Syrian Arab Republic,2021-01-25
131,19,18676,Roadtrip,Airbnb,Michael,Hudson,1982-04-21,"7013 Bryant Club Suite 695
South Tina, WI 26739",38,Non-Binary,Afghanistan,2022-01-28
281,28,18899,Flight,Airbnb,Francisco,Hensley,1913-06-29,"074 Scott Brook Suite 700
Lukeville, VA 46541",38,Non-Binary,Uruguay,2021-10-21
71,17,28326,Car,Other,Jesus,Jarvis,1986-08-27,"275 Marie Square
Cheyenneshire, CO 98493",30,Non-Binary,Iraq,2022-01-25
173,8,16642,Flight,Airbnb,Debra,Mitchell,1927-02-17,"05543 Scott Mount Suite 815
Priceland, VI 56675",25,Male,San Marino,2022-08-07
138,3,16551,Flight,Other,Joseph,Moore,1988-09-17,"PSC 1174, Box 8855
APO AE 37363",38,Transgender,Macao,2021-01-04
154,27,25299,Car,Airbnb,Jeffrey,Key,1913-02-13,"4725 Ferguson Hill Suite 157
Eriktown, PR 09538",25,Female,Kyrgyz Republic,2022-06-28
95,27,14897,Train,Airbnb,John,Beck,2003-03-04,"890 Marshall Vista
Alvarezburgh, NM 14496",53,Female,New Zealand,2020-01-31
68,8,19052,Cruise,Hotel,Andre,Elliott,2000-01-14,"091 Gary Falls
Bryanview, AZ 45401",39,Transgender,Belarus,2020-10-11
267,6,27610,Roadtrip,Hotel,Joshua,Jones,1979-08-29,"586 Ryan Prairie
South Ashley, VT 42522",31,Non-Binary,Andorra,2020-11-14
231,14,13224,Car,Airbnb,Michael,Ellis,1954-10-22,"444 Angelica Wall
South Johnside, WI 15739",73,Male,Niger,2022-03-03
127,8,12918,Cruise,Other,Patrick,Brown,1931-03-11,"USCGC Wright
FPO AA 89167",47,Non-Binary,Holy See (Vatican City State),2020-12-03
264,15,11370,Cruise,Resorts,Richard,Molina,2002-07-13,"USCGC Stark
FPO AA 69400",36,Male,South Africa,2022-03-17
221,4,10381,Train,Resorts,Melissa,Juarez,1980-11-12,"PSC 9713, Box 1159
APO AP 75044",40,Male,Montenegro,2023-08-21
181,26,13950,Train,Airbnb,Peter,Gonzales,1923-10-28,"486 Travis Haven Apt. 124
Jacquelineburgh, IA 61030",74,Male,Mozambique,2022-10-07
151,6,29679,Train,Airbnb,Virginia,Wilkinson,1941-05-06,"459 Katrina Row Suite 348
Howardborough, AL 93824",72,Male,New Zealand,2022-06-16
7,19,25750,Roadtrip,Other,Lisa,Smith,1993-09-19,"Unit 7905 Box 2194
DPO AE 84402",22,Transgender,France,2021-12-15
162,6,12099,Cruise,Hotel,Patrick,Richardson,2017-11-14,"Unit 3034 Box 2608
DPO AA 20484",46,Female,Falkland Islands (Malvinas),2021-02-22
270,26,9011,Train,Resorts,Thomas,Jones,1985-01-12,"91878 Marvin Lock
West Alexanderside, IN 85225",73,Transgender,Lao People's Democratic Republic,2020-05-06
273,27,21862,Roadtrip,Airbnb,Jason,Yates,1965-06-04,"PSC 3486, Box 6554
APO AE 33000",51,Non-Binary,Saint Pierre and Miquelon,2020-08-06
56,24,10551,Flight,Resorts,John,Johnson,1922-11-04,"43152 Deborah Pine Suite 123
West Andreland, MD 53252",19,Transgender,Hungary,2021-06-18
27,14,18690,Roadtrip,Other,Robert,Miller,1927-05-09,"267 Crystal Springs Suite 002
Jamesburgh, MI 62331",58,Male,Isle of Man,2021-08-01
260,30,16543,Bus,Other,Jennifer,Dickson,1980-09-03,"78409 Chase Mews
South Joshua, MN 62010",74,Male,Belarus,2020-06-12
87,30,10957,Bus,Hotel,Benjamin,Parker,1938-05-21,"50044 Pamela Ridges
Brandontown, VT 77866",74,Male,South Africa,2022-01-13
256,16,23948,Cruise,Other,Stephen,Brown,1919-12-16,"61062 James Point
East Kimberly, WI 72810",29,Male,Monaco,2023-04-01
201,1,28648,Train,Other,James,Greene,1988-01-29,"PSC 6626, Box 3241
APO AE 51506",35,Transgender,American Samoa,2020-10-06
146,11,19614,Roadtrip,Other,Brittany,Lynch,2004-06-07,"131 Jackson Parkway Apt. 685
Lake Billshire, HI 13729",56,Male,Angola,2023-07-07
286,3,26996,Car,Other,Kevin,Horton,1988-07-11,"69454 Terri Shoal Suite 567
Loganport, OK 83479",54,Male,Martinique,2020-10-14
196,28,22316,Roadtrip,Airbnb,Alexandra,Hoover,1958-08-20,"7452 David Hollow
Lake Matthewberg, MN 62906",67,Transgender,Turkey,2022-07-23
210,21,17648,Train,Other,Pamela,Hill,1983-05-09,"46946 Travis Highway
Franciscomouth, DC 40582",42,Transgender,Reunion,2022-07-09
126,7,19843,Train,Other,Anna,Rose,1944-06-15,"1720 Donna Overpass Apt. 081
Lake Kelly, SC 63200",41,Female,Cape Verde,2021-10-21
1,30,7447,Flight,Airbnb,Andrea,Andrade,1923-07-19,"598 Thompson Mission
Davidfurt, MO 51668",28,Male,Cambodia,2022-04-11
299,24,9550,Train,Resorts,Deborah,Oneill,2014-01-19,"8785 Lauren Rest
Jamesbury, NC 86097",50,Female,Bolivia,2022-11-24
87,5,12048,Bus,Hotel,William,Farmer,1922-05-02,"Unit 1690 Box 1761
DPO AP 18104",36,Non-Binary,Lebanon,2022-03-03
275,9,17108,Bus,Airbnb,Jessica,Olsen,1974-05-06,"2273 Heather Manor Suite 210
West Brianaside, OH 84015",18,Male,Netherlands Antilles,2020-01-24
46,2,20714,Bus,Resorts,Angela,Craig,1946-07-18,"87216 Levy Rapids
Port Diana, UT 03263",31,Non-Binary,Cyprus,2020-04-20
44,24,19328,Flight,Other,Cynthia,Carr,2001-07-01,"2434 Warner Row
Millershire, NM 57487",46,Female,Botswana,2020-08-27
30,1,25556,Bus,Resorts,Audrey,Norton,1973-04-04,"06181 Ana Trail
Port Rebeccaton, MO 91234",18,Female,Lithuania,2022-05-08
162,6,29458,Train,Hotel,Jeremy,Bryan,1977-04-27,"03600 Robertson Dam Apt. 255
Whiteton, MS 18543",71,Transgender,Mauritania,2020-06-11
120,3,8941,Train,Other,Tony,Hamilton,1991-02-11,"2459 Steven Parks Apt. 312
Yolandaside, PW 62241",55,Non-Binary,Greece,2020-07-15
64,3,27803,Bus,Resorts,Brooke,Lin,1927-09-12,"091 Riggs Unions Suite 386
Port Abigailhaven, CA 84394",27,Male,Cote d'Ivoire,2020-01-19
